Name,Department
"Vashishth, Deepak",Biomedical Engineering
"Velho, Raquel",Science and Technology Studies
"Wagman, Liad",Management
"Wagner, Sasha",Earth and Environmental Sciences
"Walczyk, Daniel","Mechanical, Aerospace and Nuclear Engineering"
"Walf, Alicia",Cognitive Science
"Wan, Leo",Biomedical Engineering
"Wang, Chunyu",Biological Sciences
"Wang, Ge",Biomedical Engineering
"Wang, Gwo-Ching","Physics, Applied Physics, and Astronomy"
"Wang, Meng","Electrical, Computer, and Systems Engineering"
"Wang, Yinan",Industrial and Systems Engineering
"Wang, Xiaokun (Cara)",Civil and Environmental Engineering
"Wang, Xun",Biomedical Engineering
"Ward, Zachary","Physics, Applied Physics, and Astronomy"
"Wen, John","Electrical, Computer, and Systems Engineering"
"Wertz, Esther","Physics, Applied Physics, and Astronomy"
"West, Damien","Physics, Applied Physics, and Astronomy"
"Wetzel, Christian","Physics, Applied Physics, and Astronomy"
"Whalen, Robert",Arts
"White, Caleb",Architecture
"Wilke, Ingrid","Physics, Applied Physics, and Astronomy"
"Willett, Fred","Mechanical, Aerospace and Nuclear Engineering"
"Wilt, Kyle","Electrical, Computer, and Systems Engineering"
"Wolf-Meyer, Matthew",Science and Technology Studies
"Woodcock, Corey",Chemical and Biological Engineering
"Xiang, Ning",Architecture
"Xiao, Jidong",Computer Science
"Xu, Yangyang",Mathematics
"Yan, Pingkun",Biomedical Engineering
"Yang, Yingrui",Cognitive Science
"Yazdanseta, Arta",Architecture
"Yazici, Birsen","Electrical, Computer, and Systems Engineering"
"Yel, Esen","Electrical, Computer, and Systems Engineering"
"Yener, Bulent",Computer Science
"Yu, Lei",Computer Science
"Yue, Jianling",Communication and Media
"Zaki, Mohammed",Computer Science
"Zeghal, Mourad",Civil and Environmental Engineering
"Zeng, Yiyuan (Leslie)",Arts
"Zerbetto Traldi, Elaine",Mathematics
"Zha, Runye (Helen)",Chemical and Biological Engineering
"Zhang, Lucy","Mechanical, Aerospace and Nuclear Engineering"
"Zhang, Shengbai","Physics, Applied Physics, and Astronomy"
"Zhang, Tong","Electrical, Computer, and Systems Engineering"
"Zhang, Zheyu","Electrical, Computer, and Systems Engineering"
"Zheng, Yong","Physics, Applied Physics, and Astronomy"
"Zhou, Yalun (Helen)",Communication and Media
